id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
AUTOBIOGRAPHY 'LIFE ON THE LINE',0.029397793,0.030648854,0.030352473,0.03026281,0.029758964,0.030548777,0.030720046,0.029680174,0.029822588,0.029962134,0.03007444,0.030372377,0.030111184,0.030325256,0.030425949,0.030753106
SAN FRANCISCO,0.04637117,0.046829227,0.04685223,0.046902854,0.044850685,0.046001695,0.046599485,0.04563617,0.046044134,0.046582855,0.046207972,0.04634807,0.047033675,0.047013406,0.04679793,0.04589531
FOUR HOURS,0.08056485,0.080972075,0.081132635,0.082616314,0.08034035,0.0794957,0.082677476,0.078465596,0.08055042,0.08239041,0.08107607,0.08163388,0.08141177,0.08048736,0.08144583,0.08251934
DOORMAN,0.06559984,0.06594156,0.06562597,0.06583916,0.06434119,0.0639914,0.06574762,0.062153526,0.06600021,0.06622942,0.065707624,0.06597256,0.06510937,0.06742753,0.0674357,0.06532964
GRANT ACHATZ AND TEAM,0.0126543585,0.01257471,0.013601104,0.013119571,0.013209404,0.013019145,0.013205955,0.012709962,0.012635997,0.013225885,0.01291923,0.013070852,0.013620514,0.013717692,0.012993553,0.013433592
TABLESIDE SERVICE,0.009001816,0.009250583,0.009367922,0.00925637,0.009400161,0.008803834,0.009434748,0.009021571,0.009038565,0.009101227,0.0097442735,0.008954094,0.009262301,0.0096885525,0.009540118,0.009343663
CULINARY DISCOURSES,0.07928988,0.07975836,0.079175815,0.082075395,0.07885305,0.07734458,0.08124685,0.076683484,0.08010517,0.077822864,0.08079315,0.081245795,0.08069436,0.082019866,0.08151345,0.07995011
DIFFICULTY IN ACQUIRING A TABLE,0.11197137,0.11397155,0.11424372,0.11558546,0.1103585,0.10856457,0.11539835,0.106631294,0.11318114,0.113153584,0.113382794,0.11528732,0.1156088,0.11474399,0.115176864,0.11393361
SCHEMING TO COME AGAIN,0.0098896045,0.009816844,0.009252718,0.009400781,0.009475093,0.009425009,0.009717307,0.009716911,0.009724379,0.0098447,0.009780726,0.009574491,0.010082323,0.009619217,0.009662304,0.009601029
BEST MEALS OF MY LIFE,0.103792414,0.10717645,0.10765955,0.109340094,0.103971265,0.10394037,0.10770661,0.10070044,0.1054437,0.10753147,0.10677312,0.10765278,0.10961607,0.1083538,0.1092103,0.10609722
RESTAURANT,0.011558685,0.011869393,0.011679741,0.011017788,0.011115816,0.011417128,0.010575879,0.01114871,0.011037343,0.011228485,0.01121038,0.011347895,0.011420515,0.011416653,0.011714712,0.01121808
